epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,437.81,2.80928,5.35523,2.42207,0.4332,0.1,0.06103,0.02536,2.2174,6.25884,2.47388,7.145e-05,7.145e-05,7.145e-05
2,906.436,1.99745,3.22202,1.78689,0.20542,0.31667,0.26046,0.12284,2.14496,4.72026,2.31189,0.000155634,0.000155634,0.000155634
3,1284.58,1.4748,2.19066,1.40494,0.04402,0.35,0.03897,0.01521,2.03529,126.365,2.39686,0.00023812,0.00023812,0.00023812
4,1640.1,1.50804,1.96799,1.38907,0.01036,0.57778,0.00932,0.00274,2.26058,77.4456,2.72357,0.000318909,0.000318909,0.000318909
5,1997.74,1.53826,1.9413,1.47536,0.00859,0.33889,0.0105,0.00379,2.3209,111.395,2.81307,0.000397999,0.000397999,0.000397999
6,2333.2,1.57163,1.78381,1.49229,0.00105,0.21111,0.00071,0.00027,2.04435,925.549,2.60564,0.000475393,0.000475393,0.000475393
7,2670.08,1.5034,1.64392,1.45899,0.26259,0.52222,0.17209,0.06434,2.40243,2416.3,3.31758,0.000551088,0.000551088,0.000551088
8,3022.85,1.58432,1.67154,1.47903,0.00853,0.57222,0.00875,0.00261,2.48577,6305.8,11.7554,0.000625086,0.000625086,0.000625086
9,3350.62,1.53947,1.55319,1.42976,0,0,0,0,3.12178,316.923,9.61419,0.000697386,0.000697386,0.000697386
10,3696.61,1.48578,1.57721,1.40589,0.00695,0.37222,0.00646,0.00312,2.38833,226.52,3.88796,0.000767989,0.000767989,0.000767989
11,4037.18,1.47493,1.59965,1.39598,0.0048,0.46667,0.00507,0.00191,2.26624,263.124,4.9459,0.000836894,0.000836894,0.000836894
12,4355.46,1.44811,1.79172,1.44443,0.00142,0.2,0.00106,0.00048,2.32011,389.781,2.90184,0.000904101,0.000904101,0.000904101
13,4671.3,1.41247,1.50048,1.37094,0.34047,0.26667,0.1917,0.07836,2.11476,25.3744,5.16726,0.000969611,0.000969611,0.000969611
14,4990.79,1.55363,1.9548,1.46117,0.35712,0.52596,0.45943,0.18176,2.32115,21.1883,3.39529,0.00103342,0.00103342,0.00103342
15,5332.04,1.42293,1.60277,1.33198,0.51349,0.30016,0.34038,0.14822,2.50581,17.2132,3.72372,0.00109554,0.00109554,0.00109554
16,5679.54,1.51774,1.36431,1.3831,0.24709,0.15,0.07858,0.01951,3.44588,38.3224,7.35519,0.00115595,0.00115595,0.00115595
17,6006.85,1.53823,1.47702,1.43783,0.04086,0.02778,0.01071,0.00505,2.93699,104.467,6.5416,0.00120265,0.00120265,0.00120265
18,6343.45,1.43275,1.4773,1.40119,0.13952,0.43333,0.08541,0.01697,2.80966,37.844,4.00848,0.0011885,0.0011885,0.0011885
19,6663.49,1.42842,1.33716,1.34262,0.11597,0.46111,0.07363,0.01677,2.56143,23.4991,3.47829,0.00117435,0.00117435,0.00117435
20,7020.05,1.37462,1.21928,1.3175,0.00868,0.03333,0.00399,0.00183,3.44669,1080.03,100.877,0.00116021,0.00116021,0.00116021
21,7344.86,1.37063,1.20215,1.32473,0.43713,0.25556,0.07763,0.02927,2.94643,77.4733,4.88981,0.00114606,0.00114606,0.00114606
22,7668.84,1.3826,1.12082,1.33245,0.12897,0.30661,0.09522,0.02693,2.64752,4.95228,3.55164,0.00113191,0.00113191,0.00113191
23,7996.05,1.38674,1.32389,1.30461,0.42451,0.41186,0.31654,0.10804,2.43231,3.44982,3.21722,0.00111776,0.00111776,0.00111776
24,8337.15,1.31356,1.23923,1.28897,0.36565,0.45513,0.25365,0.0803,2.4485,3.12669,3.48075,0.00110362,0.00110362,0.00110362
25,8637.7,1.27773,1.24905,1.27902,0.58769,0.47933,0.46213,0.20609,2.31385,2.67791,3.01219,0.00108947,0.00108947,0.00108947
26,8966.19,1.29812,1.2572,1.3367,0.2774,0.30556,0.19364,0.06763,2.59663,3.45527,3.16618,0.00107532,0.00107532,0.00107532
27,9310.26,1.38928,1.2073,1.41508,0.5188,0.41437,0.33748,0.1242,2.59522,3.76227,3.2359,0.00106118,0.00106118,0.00106118
28,9629.64,1.37711,1.18043,1.34909,0.65614,0.32551,0.31275,0.17227,2.38267,3.387,2.81584,0.00104703,0.00104703,0.00104703
29,9956.09,1.41139,1.20332,1.35739,0.64774,0.12778,0.1703,0.08056,2.67064,5.04628,3.21047,0.00103288,0.00103288,0.00103288
30,10294.3,1.26013,1.06363,1.24916,0.28587,0.3,0.18477,0.06787,2.58128,3.89348,3.07182,0.00101873,0.00101873,0.00101873
31,10634.6,1.32765,1.04447,1.27151,0.20016,0.33333,0.16576,0.06539,2.45993,3.45048,2.93314,0.00100459,0.00100459,0.00100459
32,10978.7,1.35197,1.12003,1.3915,0.31035,0.60556,0.37136,0.13911,2.36956,2.28844,2.95698,0.00099044,0.00099044,0.00099044
33,11324.8,1.34643,1.13158,1.41913,0.39274,0.46111,0.33182,0.11216,2.25039,2.34566,2.82332,0.000976293,0.000976293,0.000976293
34,11644.5,1.39743,1.09312,1.28923,0.20238,0.4,0.21566,0.06941,2.56283,2.64073,3.11558,0.000962146,0.000962146,0.000962146
35,11958.3,1.33565,1.16978,1.35276,0.61916,0.52778,0.54525,0.22101,2.21749,1.95316,2.71564,0.000947999,0.000947999,0.000947999
36,12299.5,1.39106,1.10506,1.34635,0.21283,0.46667,0.21479,0.0874,2.3512,3.10667,2.86639,0.000933851,0.000933851,0.000933851
37,12640.5,1.31973,1.07261,1.32423,0.47847,0.59637,0.4703,0.17849,2.39335,2.11148,2.96145,0.000919704,0.000919704,0.000919704
38,12995.1,1.27246,1.01586,1.24112,0.48442,0.38889,0.33828,0.13757,2.26852,2.66609,2.78776,0.000905557,0.000905557,0.000905557
39,13307.7,1.25325,1.07264,1.29022,0.41952,0.3875,0.42087,0.1611,2.29141,2.17429,2.90294,0.00089141,0.00089141,0.00089141
40,13649.8,1.29691,1.03131,1.26449,0.31983,0.47222,0.363,0.16725,2.31123,2.73011,2.88839,0.000877263,0.000877263,0.000877263
41,13973.8,1.27817,1.02413,1.24705,0.35637,0.58333,0.39256,0.15979,2.32186,2.41216,2.7677,0.000863116,0.000863116,0.000863116
42,14281.8,1.31061,0.93119,1.27157,0.62276,0.51414,0.58026,0.23596,2.35898,2.0413,2.96657,0.000848969,0.000848969,0.000848969
43,14620,1.3168,1.06032,1.31475,0.40963,0.51445,0.38905,0.15632,2.36738,2.28616,2.90276,0.000834822,0.000834822,0.000834822
44,14938.7,1.34902,0.94733,1.29305,0.44593,0.54112,0.49884,0.21756,2.3597,1.91238,2.94502,0.000820675,0.000820675,0.000820675
45,15246.8,1.2643,0.87917,1.2289,0.54869,0.45556,0.50715,0.24081,2.23143,1.79714,2.79625,0.000806528,0.000806528,0.000806528
