epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2489,2.38696,4.15526,1.93752,0,0,0,0,2.97208,4.52374,3.40641,0.0901,0.0011,0.0011
2,49.8575,1.79345,2.76201,1.58933,0,0,0,0,3.31307,4.67372,3.89232,0.0792772,0.00227723,0.00227723
3,70.7702,1.88833,2.46507,1.66885,0,0,0,0,2.86069,5.03401,4.44661,0.0684307,0.0034307,0.0034307
4,95.1661,1.86797,2.42827,1.67019,0,0,0,0,4.00103,1480.44,13.9255,0.0575604,0.00456041,0.00456041
5,119.264,1.89287,2.29468,1.74096,0,0,0,0,4.36002,408.139,9.4177,0.0466664,0.00566636,0.00566636
6,142.494,1.96313,2.33547,1.81898,0.00014,0.02778,7e-05,1e-05,4.97417,1712.87,50.7959,0.0357486,0.00674855,0.00674855
7,167.205,1.95799,2.33093,1.80271,0,0,0,0,5.61569,13407.8,22.4522,0.024807,0.00780698,0.00780698
8,191.445,1.84204,2.21491,1.70147,0,0,0,0,4.91464,13266.5,46.4105,0.0138416,0.00884165,0.00884165
9,212.588,1.79381,2.11436,1.66332,0,0,0,0,4.56968,5963.29,110.308,0.009208,0.009208,0.009208
10,234.379,1.86143,2.10587,1.76345,0,0,0,0,3.3268,728.082,8.08747,0.009109,0.009109,0.009109
11,257.281,1.7289,2.04911,1.62033,0,0,0,0,2.91506,715.061,6.66992,0.00901,0.00901,0.00901
12,280.844,1.78575,2.20012,1.75108,0.01788,0.02778,0.00658,0.00169,2.49894,261.121,4.32294,0.008911,0.008911,0.008911
13,303.409,1.795,1.77798,1.69711,0.00725,0.08333,0.00469,0.00066,2.70777,74.9588,3.86477,0.008812,0.008812,0.008812
14,324.89,1.69672,1.88745,1.63293,0.39447,0.05556,0.01497,0.00389,2.39543,10.7867,3.36451,0.008713,0.008713,0.008713
15,346.295,1.67891,1.84981,1.60378,0.0279,0.25,0.02524,0.0083,2.55774,5.08111,3.58983,0.008614,0.008614,0.008614
16,367.377,1.69316,1.68187,1.55088,0.11177,0.25,0.11323,0.0362,2.70926,4.73764,3.86453,0.008515,0.008515,0.008515
17,388.631,1.74959,1.82532,1.64402,0.05828,0.27222,0.08133,0.03096,2.43459,3.28059,3.341,0.008416,0.008416,0.008416
18,410.115,1.68112,1.86155,1.69109,0.05288,0.23889,0.06641,0.02314,2.44823,2.71319,3.41583,0.008317,0.008317,0.008317
19,431.347,1.65788,1.65903,1.57001,0.09756,0.26667,0.07292,0.02596,2.34076,2.90735,3.40562,0.008218,0.008218,0.008218
20,452.783,1.68417,1.69574,1.59411,0.07151,0.33766,0.06445,0.02026,2.36036,2.81288,3.36818,0.008119,0.008119,0.008119
21,474.118,1.60405,1.5782,1.53053,0.3968,0.15,0.05665,0.01854,2.37297,2.7703,3.21709,0.00802,0.00802,0.00802
22,495.718,1.61897,1.54094,1.55341,0.4643,0.17066,0.1566,0.06084,2.27921,2.64017,2.98638,0.007921,0.007921,0.007921
23,516.895,1.68442,1.48066,1.56224,0.6084,0.24588,0.23138,0.07714,2.27177,2.40713,2.86633,0.007822,0.007822,0.007822
24,537.911,1.6782,1.52003,1.58274,0.57664,0.21667,0.23196,0.07674,2.38886,2.42994,2.9993,0.007723,0.007723,0.007723
25,559.235,1.60388,1.53166,1.53671,0.4034,0.31667,0.1753,0.05248,2.33302,2.80899,2.93979,0.007624,0.007624,0.007624
26,580.695,1.67508,1.63976,1.64816,0.27491,0.31667,0.13363,0.03777,2.30169,2.52084,2.87585,0.007525,0.007525,0.007525
27,602.196,1.54829,1.57697,1.56343,0.13235,0.35,0.09295,0.03189,2.14041,2.9551,2.71025,0.007426,0.007426,0.007426
28,623.474,1.4854,1.42759,1.51781,0.12913,0.23333,0.08929,0.03332,2.27033,3.00711,2.83564,0.007327,0.007327,0.007327
29,644.898,1.58124,1.52612,1.52504,0.17123,0.43119,0.16209,0.05482,2.31697,2.61581,2.87027,0.007228,0.007228,0.007228
30,666.37,1.55297,1.42872,1.45415,0.22189,0.40664,0.24622,0.08889,2.3275,2.19162,2.786,0.007129,0.007129,0.007129
31,687.987,1.57179,1.3797,1.44138,0.20236,0.45556,0.2215,0.08712,2.20061,2.25815,2.59985,0.00703,0.00703,0.00703
32,709.36,1.60494,1.49245,1.62621,0.28285,0.40291,0.24654,0.10677,2.15907,2.23393,2.58321,0.006931,0.006931,0.006931
