epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2496,2.53167,5.26958,4.29744,2.4194,0.00042,0.05,0.00025,0.0001,0.00097,0.15,0.00089,9e-05,2.50482,4.18915,4.78744,2.92339,3.334e-05,3.334e-05,3.334e-05
2,31.5024,2.22198,4.31596,4.01435,2.16615,0.00125,0.2,0.00085,0.00039,0.00125,0.2,0.00159,0.00038,2.10554,4.21292,4.48237,2.57243,8.25248e-05,8.25248e-05,8.25248e-05
3,44.3333,1.75007,3.62015,3.65165,1.68015,0.00296,0.5,0.0198,0.00554,0.00267,0.45,0.01958,0.00337,1.81817,3.66535,4.19541,2.1805,0.000130719,0.000130719,0.000130719
4,57.6602,1.59409,3.1296,3.3417,1.46868,0.00672,1,0.23617,0.05329,0.00605,0.9,0.22117,0.0725,1.55591,2.97067,3.96448,1.74127,0.000177924,0.000177924,0.000177924
5,70.3863,1.58119,2.77545,2.93124,1.42055,0.00667,1,0.5265,0.20772,0.006,0.9,0.48899,0.22704,1.35843,2.96474,3.58396,1.41213,0.000224138,0.000224138,0.000224138
6,82.6701,1.48436,2.49248,2.45844,1.38079,0.00667,1,0.53601,0.21521,0.006,0.9,0.50003,0.24401,1.44077,2.96254,3.44293,1.42691,0.000269362,0.000269362,0.000269362
7,95.2451,1.41867,2.4467,2.25036,1.28862,0.00634,0.95,0.52454,0.25457,0.006,0.9,0.48185,0.27256,1.3864,2.90889,3.27027,1.31226,0.000313596,0.000313596,0.000313596
8,107.838,1.35064,2.04356,2.02888,1.28266,0.00667,1,0.5688,0.26833,0.006,0.9,0.5192,0.2831,1.58124,2.97035,3.21732,1.38927,0.00035684,0.00035684,0.00035684
9,121.547,1.4008,2.20646,1.99091,1.28149,0.00667,1,0.53439,0.22722,0.006,0.9,0.33319,0.11475,1.44501,3.91215,3.47094,1.40342,0.000399093,0.000399093,0.000399093
10,135.248,1.29187,1.93462,1.93386,1.16534,0.00667,1,0.49141,0.24566,0.00567,0.85,0.32974,0.10199,1.32168,3.84406,3.47727,1.33431,0.000440356,0.000440356,0.000440356
11,148.709,1.48201,2.24655,1.99673,1.35477,0.00634,0.95,0.43407,0.16517,0.005,0.75,0.15729,0.03594,1.27468,4.11759,3.59801,1.35151,0.000480629,0.000480629,0.000480629
12,161.735,1.37871,2.04954,1.90146,1.23878,0.00633,0.95,0.4065,0.10374,0.005,0.75,0.24355,0.04806,1.21605,3.7862,3.69549,1.37682,0.000519912,0.000519912,0.000519912
13,174.493,1.29386,1.98099,1.81091,1.22238,0.00634,0.95,0.52552,0.22224,0.00603,0.9,0.47337,0.24064,1.2778,3.40543,3.55104,1.35902,0.000558205,0.000558205,0.000558205
14,187.574,1.30398,1.99399,1.75752,1.18279,0.00674,1,0.49226,0.23149,0.00606,0.9,0.44999,0.22714,1.37019,3.49425,3.52929,1.4236,0.000595507,0.000595507,0.000595507
15,201.023,1.23138,1.99143,1.77859,1.20823,0.00634,0.95,0.09355,0.04007,0.00571,0.85,0.06181,0.02374,1.41773,4.46656,3.60164,1.44594,0.00063182,0.00063182,0.00063182
16,216.22,1.43034,2.23402,1.93601,1.31064,0.00669,1,0.17575,0.08571,0.0054,0.8,0.12288,0.05397,1.50724,5.1709,3.59445,1.47597,0.000667142,0.000667142,0.000667142
17,229.546,1.31672,1.98218,1.78763,1.19424,0.25404,0.05,0.50123,0.23834,0.00568,0.85,0.33781,0.12851,1.54298,6.25183,3.16487,1.38151,0.000701474,0.000701474,0.000701474
18,243.153,1.32449,2.1344,1.79109,1.22994,0.47471,0.45,0.59637,0.2661,0.36633,0.35,0.33787,0.1436,1.58238,7.36177,2.83565,1.40277,0.000734815,0.000734815,0.000734815
19,256.454,1.26949,1.80251,1.74633,1.27393,0.47632,0.57726,0.55594,0.22857,0.3733,0.45,0.32223,0.1481,1.65904,7.0801,2.86596,1.45045,0.000767167,0.000767167,0.000767167
20,269.81,1.24759,1.86878,1.63358,1.17569,0.49193,0.627,0.55243,0.23619,0.39689,0.5,0.31471,0.14998,1.6885,8.14543,2.78645,1.43289,0.000798528,0.000798528,0.000798528
21,283.013,1.27891,2.09163,1.71427,1.22197,0.48861,0.8,0.59064,0.26316,0.3797,0.58791,0.31487,0.16485,1.57176,8.2771,2.59827,1.3647,0.000828899,0.000828899,0.000828899
22,295.755,1.21171,1.81774,1.62694,1.18882,0.40867,0.80986,0.40218,0.24875,0.36866,0.7,0.324,0.17939,1.49214,6.77132,2.44316,1.31616,0.00085828,0.00085828,0.00085828
23,308.128,1.26757,1.83444,1.57854,1.188,0.49762,0.98331,0.60635,0.31443,0.42133,0.83528,0.459,0.25761,1.50068,4.97996,2.38597,1.29951,0.000886671,0.000886671,0.000886671
24,320.742,1.20212,1.95683,1.63351,1.2277,0.51314,0.86316,0.59413,0.2978,0.52043,0.5712,0.47103,0.25394,1.56742,4.68244,2.28707,1.35629,0.000914071,0.000914071,0.000914071
25,333.289,1.14017,1.68573,1.61795,1.17677,0.52493,0.9,0.62024,0.29334,0.49805,0.65,0.50363,0.22904,1.66078,4.83302,2.31193,1.50056,0.000940481,0.000940481,0.000940481
26,346.039,1.29125,1.74651,1.50957,1.21762,0.49252,0.85,0.58541,0.31743,0.46754,0.77872,0.55554,0.27515,1.5064,4.34729,2.39489,1.47153,0.000965901,0.000965901,0.000965901
27,359.207,1.20917,1.74963,1.51009,1.15861,0.43916,0.8,0.57381,0.29854,0.44556,0.8,0.53208,0.31188,1.40227,3.90517,2.32239,1.45505,0.000990331,0.000990331,0.000990331
28,372.917,1.27628,1.78737,1.67556,1.29795,0.49332,1,0.63042,0.26271,0.44256,0.8931,0.50625,0.27788,1.64194,4.00809,2.3169,1.6022,0.00101377,0.00101377,0.00101377
29,386.905,1.29818,1.75673,1.5697,1.23917,0.49332,1,0.63042,0.26271,0.44256,0.8931,0.50625,0.27788,1.64194,4.00809,2.3169,1.6022,0.00103622,0.00103622,0.00103622
30,400.787,1.24021,1.75698,1.60313,1.19098,0.52052,1,0.6419,0.28764,0.45625,0.85,0.52846,0.30434,1.52195,3.39473,2.23919,1.54198,0.00105768,0.00105768,0.00105768
31,415.202,1.33715,1.87599,1.7043,1.29097,0.51413,0.79239,0.54546,0.26308,0.51413,0.79239,0.54524,0.30136,1.65646,2.77225,2.29256,1.65259,0.00107815,0.00107815,0.00107815
32,428.881,1.2243,1.94698,1.65372,1.25649,0.50478,0.83697,0.58629,0.24416,0.50478,0.83697,0.58112,0.29023,1.88412,2.79998,2.27104,1.86981,0.00109763,0.00109763,0.00109763
33,443.155,1.36549,2.05102,1.60729,1.2452,0.50478,0.83697,0.58629,0.24416,0.50478,0.83697,0.58112,0.29023,1.88412,2.79998,2.27104,1.86981,0.00111612,0.00111612,0.00111612
34,456.754,1.33566,1.76727,1.59564,1.28833,0.48932,0.8,0.55577,0.26188,0.48932,0.8,0.55577,0.29674,1.78791,2.90038,2.21334,1.83217,0.00112239,0.00112239,0.00112239
35,469.585,1.16425,1.8324,1.48255,1.14209,0.47344,0.95,0.62693,0.3309,0.44803,0.9,0.55158,0.34621,1.46555,3.24195,2.10728,1.56175,0.00110589,0.00110589,0.00110589
36,482.939,1.2397,1.72719,1.60445,1.24354,0.48933,0.88967,0.6398,0.33233,0.44225,0.8,0.49829,0.31063,1.47776,3.55806,2.12354,1.55151,0.00108938,0.00108938,0.00108938
37,495.936,1.17856,1.60678,1.46945,1.15265,0.48933,0.88967,0.6398,0.33233,0.44225,0.8,0.49829,0.31063,1.47776,3.55806,2.12354,1.55151,0.00107288,0.00107288,0.00107288
38,509.323,1.26314,1.81963,1.47933,1.19485,0.48285,0.85,0.65842,0.32533,0.47806,0.75,0.51498,0.32146,1.50932,3.76318,2.03009,1.63596,0.00105638,0.00105638,0.00105638
39,523.295,1.21511,1.80327,1.50815,1.22742,0.4887,1,0.71296,0.36346,0.44396,0.75,0.57006,0.35883,1.55129,3.80094,1.90952,1.6909,0.00103987,0.00103987,0.00103987
40,537.008,1.20905,1.75439,1.51697,1.22479,0.54112,1,0.72448,0.36753,0.47773,0.9,0.5771,0.36008,1.55569,3.56786,1.8233,1.69579,0.00102337,0.00102337,0.00102337
41,550.411,1.17974,1.7395,1.51329,1.18003,0.54112,1,0.72448,0.36753,0.47773,0.9,0.5771,0.36008,1.55569,3.56786,1.8233,1.69579,0.00100687,0.00100687,0.00100687
42,563.868,1.18743,1.64812,1.4716,1.20226,0.5797,0.95,0.73393,0.36754,0.55321,0.85,0.5869,0.35803,1.56967,3.4046,1.83913,1.69742,0.000990365,0.000990365,0.000990365
43,577.327,1.18489,1.76059,1.55221,1.23313,0.6302,1,0.84547,0.41709,0.57663,0.9,0.70862,0.41019,1.63319,3.1882,1.91497,1.75817,0.000973861,0.000973861,0.000973861
44,590.576,1.20423,1.60533,1.49387,1.15087,0.60962,0.91515,0.77602,0.40251,0.57952,0.8,0.73029,0.42296,1.69861,2.82772,1.93127,1.84773,0.000957358,0.000957358,0.000957358
45,604,1.06854,1.73882,1.43259,1.15152,0.60962,0.91515,0.77602,0.40251,0.57952,0.8,0.73029,0.42296,1.69861,2.82772,1.93127,1.84773,0.000940855,0.000940855,0.000940855
46,617.089,1.09351,1.67561,1.47369,1.15417,0.60057,0.7,0.77747,0.40916,0.56712,0.65,0.68216,0.40714,1.66615,2.48869,1.91311,1.75308,0.000924352,0.000924352,0.000924352
47,630.327,1.12201,1.52457,1.51792,1.17447,0.62548,0.70241,0.70918,0.39957,0.60721,0.75,0.63162,0.39567,1.64997,2.41509,1.92684,1.75285,0.000907848,0.000907848,0.000907848
48,643.71,1.06929,1.55414,1.45773,1.14374,0.53316,1,0.70812,0.33553,0.50785,0.95,0.65911,0.32498,1.68873,2.56073,1.93586,1.84359,0.000891345,0.000891345,0.000891345
49,656.998,1.08195,1.47824,1.40782,1.14928,0.53316,1,0.70812,0.33553,0.50785,0.95,0.65911,0.32498,1.68873,2.56073,1.93586,1.84359,0.000874842,0.000874842,0.000874842
50,670.316,1.07226,1.59741,1.42795,1.14808,0.54184,0.95,0.7303,0.37824,0.5037,0.9,0.66169,0.37203,1.65178,2.49507,1.87847,1.79386,0.000858338,0.000858338,0.000858338
51,683.696,0.98038,1.52131,1.34973,1.06303,0.53631,1,0.72651,0.39317,0.50591,0.95,0.65156,0.39742,1.62749,2.38827,1.87339,1.71951,0.000841835,0.000841835,0.000841835
52,696.979,1.05378,1.57156,1.38313,1.14986,0.54013,0.9956,0.66643,0.33221,0.51076,0.94789,0.62066,0.36248,1.70001,2.36975,1.86848,1.73004,0.000825332,0.000825332,0.000825332
53,710.782,1.01168,1.53345,1.28515,1.07603,0.54013,0.9956,0.66643,0.33221,0.51076,0.94789,0.62066,0.36248,1.70001,2.36975,1.86848,1.73004,0.000808828,0.000808828,0.000808828
54,724.313,0.97372,1.40123,1.30136,1.09236,0.5098,1,0.64519,0.35548,0.46791,0.84126,0.57121,0.36939,1.63807,2.53409,1.84577,1.66831,0.000792325,0.000792325,0.000792325
55,737.626,1.10828,1.72708,1.39198,1.11184,0.50813,1,0.63783,0.34745,0.48085,0.95,0.56947,0.34411,1.60418,2.75071,1.81702,1.6342,0.000775822,0.000775822,0.000775822
56,751.156,1.15469,1.55484,1.35288,1.22943,0.50706,0.97128,0.66667,0.35962,0.48168,0.92635,0.60368,0.34671,1.64149,3.07533,1.82301,1.67067,0.000759318,0.000759318,0.000759318
57,763.956,0.9637,1.41113,1.28477,1.05968,0.50706,0.97128,0.66667,0.35962,0.48168,0.92635,0.60368,0.34671,1.64149,3.07533,1.82301,1.67067,0.000742815,0.000742815,0.000742815
58,777.255,1.06168,1.51196,1.33487,1.11497,0.50624,0.96738,0.58042,0.29184,0.47989,0.9191,0.51743,0.27599,1.67205,3.20354,1.83011,1.72561,0.000726312,0.000726312,0.000726312
59,790.871,1.08971,1.64163,1.38336,1.15854,0.49319,0.95,0.57737,0.29633,0.48476,0.8,0.4907,0.29313,1.66067,3.4283,1.84281,1.75966,0.000709809,0.000709809,0.000709809
60,804.303,1.00352,1.4905,1.31179,1.11029,0.48586,0.97684,0.58281,0.31071,0.43585,0.88047,0.50461,0.29727,1.64165,3.56561,1.78726,1.75747,0.000693305,0.000693305,0.000693305
61,817.951,1.0155,1.40293,1.33971,1.08702,0.48586,0.97684,0.58281,0.31071,0.43585,0.88047,0.50461,0.29727,1.64165,3.56561,1.78726,1.75747,0.000676802,0.000676802,0.000676802
62,831.932,1.01241,1.44423,1.41216,1.14387,0.50228,1,0.63207,0.35388,0.45143,0.9,0.5327,0.34014,1.53092,3.44883,1.69732,1.64546,0.000660299,0.000660299,0.000660299
63,846.075,0.96744,1.42488,1.36515,1.06672,0.49947,0.95998,0.65437,0.34818,0.44746,0.86087,0.53811,0.33597,1.55914,3.54695,1.66815,1.68945,0.000643795,0.000643795,0.000643795
64,859.707,1.00851,1.43954,1.28887,1.03446,0.49365,0.99838,0.67156,0.31668,0.43769,0.9,0.53078,0.32564,1.62179,3.61162,1.61848,1.74511,0.000627292,0.000627292,0.000627292
65,873.275,0.99923,1.32451,1.27085,1.07917,0.49365,0.99838,0.67156,0.31668,0.43769,0.9,0.53078,0.32564,1.62179,3.61162,1.61848,1.74511,0.000610789,0.000610789,0.000610789
66,887.067,1.00451,1.40252,1.29096,1.08344,0.48517,1,0.65019,0.30072,0.43653,0.9,0.53973,0.32491,1.67736,3.66622,1.62656,1.82109,0.000594286,0.000594286,0.000594286
67,900.487,1.02222,1.40438,1.286,1.06014,0.49224,1,0.62735,0.28434,0.44292,0.9,0.52199,0.30029,1.69226,3.71412,1.62651,1.86622,0.000577782,0.000577782,0.000577782
68,913.884,1.10939,1.47145,1.34008,1.17033,0.4946,1,0.6386,0.30032,0.44514,0.9,0.54119,0.31257,1.65654,3.71113,1.58172,1.84109,0.000561279,0.000561279,0.000561279
69,927.329,1.04422,1.49656,1.30583,1.10882,0.4946,1,0.6386,0.30032,0.44514,0.9,0.54119,0.31257,1.65654,3.71113,1.58172,1.84109,0.000544776,0.000544776,0.000544776
70,940.779,0.93906,1.47365,1.25414,1.0781,0.46569,0.95,0.65481,0.34855,0.44091,0.9,0.59825,0.34691,1.65176,3.61293,1.53022,1.82919,0.000528272,0.000528272,0.000528272
71,953.954,0.92288,1.32607,1.20156,1.09528,0.46392,0.95,0.63795,0.32614,0.43918,0.9,0.57727,0.34567,1.72842,3.39012,1.55011,1.89884,0.000511769,0.000511769,0.000511769
72,967.02,0.87838,1.38001,1.22964,1.0478,0.49226,1,0.68653,0.31465,0.44304,0.9,0.58355,0.32241,1.7561,3.25974,1.53331,1.90854,0.000495266,0.000495266,0.000495266
73,980.126,0.95168,1.40145,1.32093,1.15532,0.49226,1,0.68653,0.31465,0.44304,0.9,0.58355,0.32241,1.7561,3.25974,1.53331,1.90854,0.000478762,0.000478762,0.000478762
74,993.397,0.99975,1.46813,1.23932,1.07699,0.49053,1,0.71235,0.34686,0.44556,0.8,0.61727,0.33555,1.71518,3.19562,1.54765,1.85972,0.000462259,0.000462259,0.000462259
75,1006.52,0.87257,1.28376,1.1588,1.0313,0.48305,1,0.72962,0.35913,0.49341,0.79014,0.63726,0.34702,1.70664,3.16989,1.5357,1.83724,0.000445756,0.000445756,0.000445756
76,1019.78,0.93356,1.39331,1.21613,1.03979,0.51541,1,0.74236,0.36031,0.48732,0.85,0.63696,0.35626,1.73419,3.18282,1.48609,1.87559,0.000429253,0.000429253,0.000429253
77,1032.72,0.95688,1.32214,1.25727,1.07473,0.51541,1,0.74236,0.36031,0.48732,0.85,0.63696,0.35626,1.73419,3.18282,1.48609,1.87559,0.000412749,0.000412749,0.000412749
78,1045.87,0.97892,1.29282,1.23448,1.1106,0.51374,1,0.78319,0.35758,0.58865,0.6335,0.6412,0.38141,1.72983,3.19792,1.45378,1.87483,0.000396246,0.000396246,0.000396246
79,1059.26,0.97094,1.37848,1.23537,1.1396,0.53823,0.93556,0.76695,0.3619,0.47984,0.9,0.63612,0.37571,1.67995,3.24696,1.48982,1.82128,0.000379743,0.000379743,0.000379743
80,1072.36,0.99934,1.53372,1.2425,1.12567,0.57265,0.95,0.76701,0.37843,0.48532,0.85161,0.64103,0.38336,1.64754,3.2516,1.5265,1.7486,0.000363239,0.000363239,0.000363239
81,1085.34,0.90021,1.47963,1.20007,1.04679,0.57265,0.95,0.76701,0.37843,0.48532,0.85161,0.64103,0.38336,1.64754,3.2516,1.5265,1.7486,0.000346736,0.000346736,0.000346736
82,1098.6,0.90073,1.37135,1.18001,1.05491,0.54701,0.85,0.7251,0.35895,0.49259,0.85,0.62488,0.36668,1.66597,3.27414,1.50081,1.75373,0.000330233,0.000330233,0.000330233
83,1112.12,0.94553,1.38517,1.21979,1.07248,0.55765,0.94297,0.73339,0.38161,0.51885,0.9,0.64757,0.38656,1.69709,3.28389,1.50275,1.77483,0.000313729,0.000313729,0.000313729
84,1125.26,0.9018,1.41153,1.21118,1.06785,0.53613,0.92534,0.71746,0.37765,0.51348,0.9,0.63153,0.38307,1.70426,3.28985,1.49296,1.79798,0.000297226,0.000297226,0.000297226
85,1138.6,0.89729,1.36965,1.20028,1.08234,0.53613,0.92534,0.71746,0.37765,0.51348,0.9,0.63153,0.38307,1.70426,3.28985,1.49296,1.79798,0.000280723,0.000280723,0.000280723
86,1152.26,0.87671,1.32963,1.13354,1.06661,0.54667,0.95,0.76883,0.38971,0.51735,0.9,0.67891,0.40724,1.70069,3.28706,1.44757,1.8265,0.00026422,0.00026422,0.00026422
87,1165.4,0.87029,1.29577,1.11259,1.00719,0.58349,0.93801,0.80603,0.40883,0.55164,0.88866,0.71537,0.43733,1.69695,3.26754,1.39599,1.84635,0.000247716,0.000247716,0.000247716
88,1178.35,0.90353,1.3753,1.14253,1.06406,0.70464,0.90599,0.85885,0.40714,0.62815,0.82113,0.72843,0.4374,1.70997,3.2583,1.34781,1.87315,0.000231213,0.000231213,0.000231213
89,1191.38,0.88745,1.30755,1.11284,1.07378,0.70464,0.90599,0.85885,0.40714,0.62815,0.82113,0.72843,0.4374,1.70997,3.2583,1.34781,1.87315,0.00021471,0.00021471,0.00021471
90,1204.28,0.91423,1.34079,1.05075,1.07589,0.72247,0.9,0.86405,0.42382,0.63406,0.81646,0.73498,0.43688,1.67678,3.2948,1.30473,1.83931,0.000198206,0.000198206,0.000198206
91,1217.06,0.78678,1.11483,1.16694,1.06725,0.7377,0.88971,0.87213,0.4399,0.65482,0.79269,0.74347,0.44508,1.65385,3.29693,1.28035,1.81027,0.000181703,0.000181703,0.000181703
92,1229.59,0.75751,1.11857,1.20654,1.04964,0.7252,0.88127,0.83986,0.42985,0.64273,0.78127,0.70763,0.41763,1.65393,3.28507,1.28156,1.80593,0.0001652,0.0001652,0.0001652
93,1241.88,0.82083,1.20286,1.28099,1.11804,0.7252,0.88127,0.83986,0.42985,0.64273,0.78127,0.70763,0.41763,1.65393,3.28507,1.28156,1.80593,0.000148696,0.000148696,0.000148696
94,1254.27,0.78633,1.10164,1.22774,1.02525,0.71955,0.87599,0.82778,0.4154,0.6372,0.77705,0.70576,0.41522,1.65669,3.28503,1.30842,1.80348,0.000132193,0.000132193,0.000132193
95,1266.62,0.76092,1.12869,1.1448,1.05183,0.67154,0.88413,0.81167,0.4102,0.6015,0.82298,0.69743,0.40879,1.66722,3.31636,1.355,1.81419,0.00011569,0.00011569,0.00011569
96,1278.97,0.73724,1.12423,1.09752,1.01183,0.66521,0.9336,0.81167,0.39708,0.59257,0.83413,0.69326,0.40491,1.69496,3.33263,1.39844,1.84625,9.91865e-05,9.91865e-05,9.91865e-05
97,1291.23,0.72038,1.14945,1.09013,1.0174,0.66521,0.9336,0.81167,0.39708,0.59257,0.83413,0.69326,0.40491,1.69496,3.33263,1.39844,1.84625,8.26832e-05,8.26832e-05,8.26832e-05
98,1303.56,0.76792,1.11651,1.08441,1.01925,0.67907,0.93094,0.80983,0.39196,0.58391,0.83665,0.69161,0.40369,1.69302,3.35753,1.40421,1.84486,6.61799e-05,6.61799e-05,6.61799e-05
99,1316.12,0.75707,1.15764,1.17843,0.96973,0.64738,0.87305,0.80467,0.38797,0.57034,0.79007,0.68602,0.40156,1.69074,3.38578,1.40483,1.84438,4.96766e-05,4.96766e-05,4.96766e-05
100,1328.53,0.78237,1.13517,1.11973,0.97689,0.6603,0.84623,0.80283,0.40328,0.58167,0.74814,0.68436,0.40023,1.68991,3.40879,1.40099,1.84461,3.31733e-05,3.31733e-05,3.31733e-05
